process,task_id,task_name,occurrence,primary_role,primary_assignee,supporting_roles,inputs,outputs,status,case_evidence,assessment
psm,task.psm.ph3.st1.t2,Configure S3 buckets and policies,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.storage-layer | psm-artifact.network-identity | psm-artifact.security-baseline | psm-artifact.deployment-strategy | psm-artifact.stack-scaffold,psm-artifact.storage-layer,simulated-complete,Performed “Configure S3 buckets and policies” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.storage-layer.,useful and enactable; no unowned handoff observed
psm,task.psm.ph3.st2.t1,Create SQS queues,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.storage-layer | psm-artifact.network-identity | psm-artifact.security-baseline | psm-artifact.deployment-strategy,psm-artifact.messaging-layer,simulated-complete,Performed “Create SQS queues” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.messaging-layer.,useful and enactable; no unowned handoff observed
psm,task.psm.ph3.st2.t2,Configure SNS topics and subscriptions,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.messaging-layer | psm-artifact.storage-layer | psm-artifact.network-identity | psm-artifact.security-baseline | psm-artifact.deployment-strategy,psm-artifact.messaging-layer,simulated-complete,Performed “Configure SNS topics and subscriptions” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.messaging-layer.,useful and enactable; no unowned handoff observed
psm,task.psm.ph4.st1.t1,Configure EventBridge buses and rules,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.messaging-layer | psm-artifact.network-identity | psm-artifact.security-baseline | psm-artifact.deployment-strategy,psm-artifact.event-fabric,simulated-complete,Performed “Configure EventBridge buses and rules” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.event-fabric.,useful and enactable; no unowned handoff observed
psm,task.psm.ph4.st1.t2,"Configure schedules, pipes, and connections",Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.event-fabric | psm-artifact.messaging-layer | psm-artifact.network-identity | psm-artifact.security-baseline | psm-artifact.deployment-strategy,psm-artifact.event-fabric,simulated-complete,"Performed “Configure schedules, pipes, and connections” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.event-fabric.",useful and enactable; no unowned handoff observed
psm,task.psm.ph4.st2.t1,Deploy Lambda functions,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.event-fabric | psm-artifact.stack-scaffold | psm-artifact.security-baseline | psm-artifact.network-identity | psm-artifact.deployment-strategy,psm-artifact.compute-layer,simulated-complete,Performed “Deploy Lambda functions” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.compute-layer.,useful and enactable; no unowned handoff observed
psm,task.psm.ph4.st2.t2,Configure event sources and permissions,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.compute-layer | psm-artifact.event-fabric | psm-artifact.security-baseline | psm-artifact.network-identity,psm-artifact.compute-layer,simulated-complete,Performed “Configure event sources and permissions” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.compute-layer.,useful and enactable; no unowned handoff observed
psm,task.psm.ph5.st1.t1,Configure APIs and routes,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.compute-layer | psm-artifact.network-identity | psm-artifact.security-baseline | psm-artifact.deployment-strategy,psm-artifact.api-layer,simulated-complete,Performed “Configure APIs and routes” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.api-layer.,useful and enactable; no unowned handoff observed
psm,task.psm.ph5.st1.t2,Configure integrations and authorizers,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.api-layer | psm-artifact.compute-layer | psm-artifact.event-fabric | psm-artifact.network-identity | psm-artifact.security-baseline,psm-artifact.api-layer,simulated-complete,Performed “Configure integrations and authorizers” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.api-layer.,useful and enactable; no unowned handoff observed
psm,task.psm.ph5.st2.ss1.t1,Deploy state machines,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.api-layer | psm-artifact.compute-layer | psm-artifact.event-fabric | psm-artifact.network-identity | psm-artifact.security-baseline,psm-artifact.workflow-observability,simulated-complete,Performed “Deploy state machines” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.workflow-observability.,useful and enactable; no unowned handoff observed
psm,task.psm.ph5.st2.ss2.t1,Configure CloudWatch logs and metrics,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.workflow-observability | psm-artifact.compute-layer | psm-artifact.api-layer | psm-artifact.event-fabric | psm-artifact.security-baseline,psm-artifact.workflow-observability,simulated-complete,Performed “Configure CloudWatch logs and metrics” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.workflow-observability.,useful and enactable; no unowned handoff observed
psm,task.psm.ph5.st2.ss2.t2,Configure alarms and dashboards,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.workflow-observability | psm-artifact.compute-layer | psm-artifact.api-layer | psm-artifact.event-fabric | psm-artifact.network-identity,psm-artifact.workflow-observability,simulated-complete,Performed “Configure alarms and dashboards” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.workflow-observability.,useful and enactable; no unowned handoff observed
psm,task.psm.ph6.st1.t1,Create integration relationship views,Increment 1; affected tasks repeated for Increment 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,psm-artifact.workflow-observability | psm-artifact.deployment-strategy | psm-artifact.network-identity | psm-artifact.storage-layer | psm-artifact.messaging-layer | psm-artifact.event-fabric | psm-artifact.compute-layer | psm-artifact.api-layer,psm-artifact.integration-views,simulated-complete,Performed “Create integration relationship views” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.integration-views.,useful and enactable; no unowned handoff observed
psm,task.psm.ph6.st2.t1,Complete trace and readiness,Increment 1; affected tasks repeated for Increment 2,role.process-reviewer,Ali Zand — assurance reviewer,,psm-artifact.integration-views | psm-artifact.increment-plan | psm-artifact.deployment-strategy | psm-artifact.stack-scaffold | psm-artifact.security-baseline | psm-artifact.network-identity | psm-artifact.storage-layer | psm-artifact.messaging-layer | psm-artifact.event-fabric | psm-artifact.compute-layer | psm-artifact.api-layer | psm-artifact.workflow-observability,psm-artifact.deployment-readiness,simulated-complete,Performed “Complete trace and readiness” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.deployment-readiness.,useful and enactable; no unowned handoff observed
psm,task.psm.ph6.st3.t1,Review and adapt PSM increment,Increment 1; affected tasks repeated for Increment 2,role.process-reviewer,Ali Zand — assurance reviewer,,psm-artifact.deployment-readiness | psm-artifact.increment-plan | psm-artifact.deployment-strategy | psm-artifact.integration-views | psm-artifact.security-baseline | psm-artifact.workflow-observability,psm-artifact.increment-review,simulated-complete,Performed “Review and adapt PSM increment” for the AWS deployment slice and its resource relationships; reviewed the declared entry/exit and validation rules; recorded psm-artifact.increment-review.,useful and enactable; no unowned handoff observed
artifact,task.artifact.ph1.st1.t1,Review project structure and generated templates,Increment 1 and Release 1; repeated selectively for Release 2,role.application-engineer,Kian Mehr — software engineer,,,artifact.generated-baseline,simulated-complete,"Performed “Review project structure and generated templates” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.generated-baseline.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph1.st1.t2,Establish source-control and release baseline,Increment 1 and Release 1; repeated selectively for Release 2,role.release-engineer,Pouya Jalali — release engineer,,artifact.generated-baseline,artifact.generated-baseline,simulated-complete,"Performed “Establish source-control and release baseline” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.generated-baseline.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph1.st2.t1,Route structural gaps back to the PSM,Increment 1 and Release 1; repeated selectively for Release 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,artifact.generated-baseline,artifact.generated-baseline,simulated-complete,"Performed “Route structural gaps back to the PSM” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.generated-baseline.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph1.st2.t2,Complete repository hygiene,Increment 1 and Release 1; repeated selectively for Release 2,role.application-engineer,Kian Mehr — software engineer,,artifact.generated-baseline,artifact.generated-baseline,simulated-complete,"Performed “Complete repository hygiene” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.generated-baseline.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph2.st1.t1,Define parameter and environment contract,Increment 1 and Release 1; repeated selectively for Release 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,artifact.generated-baseline,artifact.environment-contract,simulated-complete,"Performed “Define parameter and environment contract” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.environment-contract.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph2.st1.t2,Configure secret references and encryption,Increment 1 and Release 1; repeated selectively for Release 2,role.security-engineer,Navid Etemadi — security and privacy engineer,,artifact.generated-baseline | artifact.environment-contract,artifact.environment-contract | artifact.security-record,simulated-complete,"Performed “Configure secret references and encryption” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.environment-contract, artifact.security-record.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph2.st2.t1,Review IAM and deployment permissions,Increment 1 and Release 1; repeated selectively for Release 2,role.security-engineer,Navid Etemadi — security and privacy engineer,,artifact.environment-contract | artifact.security-record | artifact.generated-baseline,artifact.security-record,simulated-complete,"Performed “Review IAM and deployment permissions” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.security-record.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph2.st2.t2,Implement repeatable build and deployment pipeline,Increment 1 and Release 1; repeated selectively for Release 2,role.release-engineer,Pouya Jalali — release engineer,,artifact.security-record | artifact.environment-contract | artifact.generated-baseline,artifact.environment-contract,simulated-complete,"Performed “Implement repeatable build and deployment pipeline” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.environment-contract.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph3.st1.t1,Run reproducible build and infrastructure validation,Increment 1 and Release 1; repeated selectively for Release 2,role.quality-engineer,Yasaman Daryaei — quality engineer,,artifact.environment-contract | artifact.security-record | artifact.generated-baseline,artifact.verification-evidence,simulated-complete,"Performed “Run reproducible build and infrastructure validation” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.verification-evidence.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph3.st1.t2,Assess dependencies and security findings,Increment 1 and Release 1; repeated selectively for Release 2,role.security-engineer,Navid Etemadi — security and privacy engineer,,artifact.verification-evidence | artifact.security-record | artifact.environment-contract | artifact.generated-baseline,artifact.security-record | artifact.verification-evidence,simulated-complete,"Performed “Assess dependencies and security findings” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.security-record, artifact.verification-evidence.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph3.st2.t1,Deploy to staging and execute acceptance tests,Increment 1 and Release 1; repeated selectively for Release 2,role.quality-engineer,Yasaman Daryaei — quality engineer,,artifact.security-record | artifact.verification-evidence | artifact.environment-contract | artifact.generated-baseline,artifact.verification-evidence,simulated-complete,"Performed “Deploy to staging and execute acceptance tests” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.verification-evidence.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph3.st2.t2,Verify observability and operational signals,Increment 1 and Release 1; repeated selectively for Release 2,role.cloud-platform-engineer,Parisa Azadi — cloud platform engineer,,artifact.verification-evidence | artifact.environment-contract | artifact.security-record,artifact.verification-evidence | artifact.operations-pack,simulated-complete,"Performed “Verify observability and operational signals” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.verification-evidence, artifact.operations-pack.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph4.st1.t1,"Create release, rollback, and communication plan",Increment 1 and Release 1; repeated selectively for Release 2,role.release-engineer,Pouya Jalali — release engineer,,artifact.verification-evidence | artifact.operations-pack | artifact.security-record | artifact.environment-contract,artifact.release-plan,simulated-complete,"Performed “Create release, rollback, and communication plan” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.release-plan.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph4.st1.t2,Obtain production readiness approval,Increment 1 and Release 1; repeated selectively for Release 2,role.service-owner,Hoda Moradi — service owner/SRE,,artifact.release-plan | artifact.verification-evidence | artifact.security-record | artifact.operations-pack,artifact.release-plan | artifact.security-record,simulated-complete,"Performed “Obtain production readiness approval” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.release-plan, artifact.security-record.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph4.st2.t1,Complete operations handover,Increment 1 and Release 1; repeated selectively for Release 2,role.service-owner,Hoda Moradi — service owner/SRE,,artifact.release-plan | artifact.security-record | artifact.verification-evidence | artifact.environment-contract | artifact.generated-baseline,artifact.operations-pack,simulated-complete,"Performed “Complete operations handover” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.operations-pack.",useful and enactable; no unowned handoff observed
artifact,task.artifact.ph4.st2.t2,Execute production validation and close release,Increment 1 and Release 1; repeated selectively for Release 2,role.release-engineer,Pouya Jalali — release engineer,,artifact.operations-pack | artifact.release-plan | artifact.verification-evidence | artifact.security-record | artifact.environment-contract,artifact.verification-evidence | artifact.operations-pack,simulated-complete,"Performed “Execute production validation and close release” for the generated SAM/application baseline, completed logic, tests, pipeline, readiness, and handover; reviewed the declared entry/exit and validation rules; recorded artifact.verification-evidence, artifact.operations-pack.",useful and enactable; no unowned handoff observed
